#{"t_start": 1690534340.438434, "env_id": "highway-v0"}
r,l,t
22.237339,30,1136.418413
8.568442,10,1139.362201
13.260027,16,1144.084401
2.492046,4,1145.274787
1.709053,3,1146.178072
2.420735,4,1147.361071
19.879037,26,1154.80389
21.413005,26,1162.344427
4.092923,5,1163.735287
10.177041,13,1167.563732
4.538888,6,1169.263926
4.836468,6,1171.009407
7.567915,9,1173.615643
0.980741,2,1174.250533
3.748228,5,1175.742238
5.905403,8,1178.106617
11.469465,15,1182.377048
3.726047,5,1183.827428
2.510548,4,1184.974552
18.343598,21,1191.025986
2.399064,4,1192.201871
2.487488,4,1193.494235
6.175696,8,1195.821429
15.74942,20,1201.552599
18.323733,26,1208.947531
28.531976,40,1220.315387
30.013465,40,1231.908864
7.236453,9,1234.509176
3.892419,5,1235.941952
6.05878,8,1238.26435
2.714083,4,1239.41311
1.940952,3,1240.29572
26.949726,32,1249.497486
15.226116,21,1255.408041
13.082716,16,1259.9424
4.065847,6,1261.724344
27.27525,33,1271.064275
13.305947,15,1275.302105
14.237181,19,1280.810828
5.071961,6,1282.530984
4.438198,6,1284.324834
5.485912,7,1286.314885
10.105872,13,1290.011425
4.714299,7,1291.958035
27.098149,34,1301.721903
7.752024,11,1304.910385
6.278404,8,1307.146304
1.15647,2,1307.745136
22.38542,30,1316.291457
9.843716,12,1319.672907
27.809667,37,1346.878081
21.422523,28,1354.8301
12.243718,17,1359.637011
8.337093,12,1363.1032
13.487479,19,1368.605578
4.971282,6,1370.320062
3.836593,5,1371.761823
4.849676,7,1373.782112
8.914361,13,1377.483793
14.725471,21,1383.476256
19.79754,26,1390.860658
2.551662,4,1391.996917
6.531708,8,1394.225875
5.223426,7,1396.294232
2.039988,3,1397.205479
6.462793,9,1399.841945
2.783013,5,1401.270008
30.079446,40,1412.730787
1.973321,3,1413.631858
21.503302,27,1421.372608
7.566959,9,1424.03465
10.18269,12,1427.444377
7.551454,10,1430.326754
21.592405,25,1437.577972
11.689356,15,1441.967913
4.571302,6,1443.682946
13.507343,18,1448.901095
11.198509,14,1452.908713
14.689525,21,1459.037639
14.998496,21,1464.939046
3.649015,6,1466.680667
10.785647,13,1470.410175
5.973812,9,1473.107594
9.211577,11,1476.311721
17.99248,24,1483.248353
29.499171,39,1494.507688
4.555689,7,1496.531275
4.303961,6,1498.319364
5.553359,7,1500.360604
3.977329,6,1502.149008
1.797942,3,1503.022768
13.06254,15,1507.285265
11.263366,15,1511.57831
4.905875,6,1513.29295
6.022449,8,1515.564693
5.727171,8,1517.852533
25.722716,33,1527.199097
6.061211,8,1529.545597
